Song,Artist,Date,Streams,Url,Track_Id,Rank
Savage Remix (feat. Beyoncé),Megan Thee Stallion,2020-05-15,"14,758,194",https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,5v4GgrXPMghOnBBLmveLac,21
Boss Bitch,Doja Cat,2020-05-15,"14,384,837",https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,78qd8dvwea0Gosb6Fe6j3k,22
Circles,Post Malone,2020-05-15,"14,251,526",https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,21jGcNKet2qwijlDFuPiPb,23
Yo Perreo Sola,Bad Bunny,2020-05-15,"14,065,256",https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw,0SqqAgdovOE24BzxIClpjw,24
Say So (feat. Nicki Minaj),Doja Cat,2020-05-15,"14,058,611",https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa,11VApNQCWLJdzxWrlmwzUa,25
Play Date,Melanie Martinez,2020-05-15,"13,829,838",https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,4DpNNXFMMxQEKl7r0ykkWA,26
Life Is Good (feat. Drake),Future,2020-05-15,"13,808,962",https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3,1K5KBOgreBi5fkEHvg5ap3,27
Be Kind (with Halsey),Marshmello,2020-05-15,"13,678,180",https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,3Z8FwOEN59mRMxDCtb8N0A,28
goosebumps,Travis Scott,2020-05-15,"13,616,931",https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,6gBFPUFcJLzWGx4lenP6h2,29
ROXANNE,Arizona Zervas,2020-05-15,"13,413,176",https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,696DnlkuDOXcMAnKlTgXXK,30
WHATS POPPIN,Jack Harlow,2020-05-15,"13,369,562",https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,1jaTQ3nqY3oAAYyCTbIvnM,31
Adore You,Harry Styles,2020-05-15,"13,347,306",https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,3jjujdWJ72nww5eGnfs2E7,32
Party Girl,StaySolidRocky,2020-05-15,"13,149,805",https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l,5RqR4ZCCKJDcBLIn4sih9l,33
SICKO MODE,Travis Scott,2020-05-15,"12,769,185",https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,34
Tusa,"KAROL G, Nicki Minaj",2020-05-15,"12,563,424",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,7k4t7uLgtOxPwTpFmtJNTY,35
In Your Eyes,The Weeknd,2020-05-15,"12,273,484",https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,7szuecWAPwGoV1e5vGu8tl,36
HIGHEST IN THE ROOM,Travis Scott,2020-05-15,"11,927,550",https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,3eekarcy7kvN4yt5ZFzltW,37
Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",2020-05-15,"11,909,674",https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,2DEZmgHKAvm41k4J3R2E9Y,38
Breaking Me,"Topic, A7S",2020-05-15,"11,605,526",https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,3H7ihDc1dqLriiWXwsc2po,39
Before You Go,Lewis Capaldi,2020-05-15,"11,514,949",https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2gMXnyrvIjhVBUZwvLZDMP,40
Physical,Dua Lipa,2020-05-15,"11,448,562",https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW,3AzjcOeAmA57TIOr9zF1ZW,41
Righteous,Juice WRLD,2020-05-15,"11,354,554",https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,0OyQns5ayNK2OVaES0Vb8t,42
After Party,Don Toliver,2020-05-15,"11,255,838",https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da,527k23H0A4Q0UJN3vGs0Da,43
Lose Somebody,"Kygo, OneRepublic",2020-05-15,"11,233,867",https://open.spotify.com/track/7xbWAw3LMgRMn4omR5yVn3,7xbWAw3LMgRMn4omR5yVn3,44
Memories,Maroon 5,2020-05-15,"11,035,416",https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2b8fOow8UzyDFAE27YhOZM,45
bad guy,Billie Eilish,2020-05-15,"10,814,104",https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2Fxmhks0bxGSBdJ92vM42m,46
Rojo,J Balvin,2020-05-15,"10,743,411",https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi,380HmhwTE2NJgawn1NwkXi,47
If the World Was Ending - feat. Julia Michaels,JP Saxe,2020-05-15,"10,580,861",https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,2kJwzbxV2ppxnQoYw4GLBZ,48
Favorito,Camilo,2020-05-15,"10,504,001",https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q,0jT8Nl0shPS8115is0wD2Q,49
Señorita,"Shawn Mendes, Camila Cabello",2020-05-15,"10,277,342",https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,6v3KW9xbzN5yKLt9YKDYA2,50
Solitaires (feat. Travis Scott),Future,2020-05-15,"9,952,693",https://open.spotify.com/track/4kfeRwpq5KUaqTkgi4TbDF,4kfeRwpq5KUaqTkgi4TbDF,51
Daisies,Katy Perry,2020-05-15,"9,468,155",https://open.spotify.com/track/4uqh9bualXNHXXwO2wPorc,4uqh9bualXNHXXwO2wPorc,52
Savage,Megan Thee Stallion,2020-05-15,"9,438,110",https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si,55CHeLEfn5iJ0IIkgaa4si,53
PA' ROMPERLA,"Bad Bunny, Don Omar",2020-05-15,"9,309,967",https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i,5XqCz18k96K8tx6DAYM97i,54
BYE ME FUI,Bad Bunny,2020-05-15,"9,072,151",https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2,0FktnzDqjClqU6iqOZVEs2,55
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2020-05-15,"9,069,172",https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,0RiRZpuVRbi7oqRdSMwhQY,56
Godzilla (feat. Juice WRLD),Eminem,2020-05-15,"8,993,884",https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,7FIWs0pqAYbP91WWM0vlTQ,57
Ride It,Regard,2020-05-15,"8,929,941",https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2tnVG71enUj33Ic2nFN6kZ,58
Skechers,DripReport,2020-05-15,"8,903,122",https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu,2alc8VZAzDgdAsL2QMk3hu,59
everything i wanted,Billie Eilish,2020-05-15,"8,877,852",https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,3ZCTVFBt2Brf31RLEnCkWJ,60
PORFA,"Feid, Justin Quiles",2020-05-15,"8,733,677",https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW,4TOmcZvw0gHa7GiXRbcYAW,61
Walk Em Down (feat. Roddy Ricch),NLE Choppa,2020-05-15,"8,658,219",https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg,4cSSL3YafYjM3yjgFO1vJg,62
Chicago Freestyle (feat. Giveon),Drake,2020-05-15,"8,495,499",https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,4wVOKKEHUJxHCFFNUWDn0B,63
Watermelon Sugar,Harry Styles,2020-05-15,"8,459,763",https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,6UelLqGlWMcVH1E5c4H7lY,64
lovely (with Khalid),Billie Eilish,2020-05-15,"8,236,665",https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,0u2P5u6lvoDfwTYjAADbn4,65
Amarillo,J Balvin,2020-05-15,"8,098,294",https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL,6zEgnpM0qYmHLDnh8WPejL,66
MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",2020-05-15,"7,991,368",https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q,14wf185UxfNbSy8dwt4r4q,67
La Difícil,Bad Bunny,2020-05-15,"7,837,005",https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt,6NfrH0ANGmgBXyxgV2PeXt,68
Tattoo,Rauw Alejandro,2020-05-15,"7,795,114",https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d,7na7Bk98usp84FaOJFPv3d,69
Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez",2020-05-15,"7,784,306",https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau,50ZC4PM7hywH27RcCfViau,70
Lucid Dreams,Juice WRLD,2020-05-15,"7,778,499",https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,285pBltuF7vW8TeWk8hdRR,71
Salt,Ava Max,2020-05-15,"7,771,808",https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV,7vgv8KZBSo0TPzyIWG9yzV,72
hot girl bummer,blackbear,2020-05-15,"7,574,089",https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,7aiClxsDWFRQ0Kzk5KI5ku,73
Lose Control,"MEDUZA, Becky Hill, Goodboys",2020-05-15,"7,562,285",https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,7CHi4DtfK4heMlQaudCuHK,74
Ignorantes,"Bad Bunny, Sech",2020-05-15,"7,419,185",https://open.spotify.com/track/38RIEav39FGi86jppxO0du,38RIEav39FGi86jppxO0du,75
I Don't Care (with Justin Bieber),Ed Sheeran,2020-05-15,"7,397,665",https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,0hVXuCcriWRGvwMV1r5Yn9,76
