Song,Artist,Date,Streams,Url,Rank
BEBE,"6ix9ine, Anuel AA",2019-01-04,"7,584,716",https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,67
Cuando Te Besé,"Becky G, Paulo Londra",2019-01-04,"7,557,816",https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,68
KIKA,"6ix9ine, Tory Lanez",2019-01-04,"7,554,171",https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,69
idontwannabeyouanymore,Billie Eilish,2019-01-04,"7,545,015",https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,70
Happy Now,"Kygo, Sandro Cavazza",2019-01-04,"7,501,835",https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,71
Psycho (feat. Ty Dolla $ign),Post Malone,2019-01-04,"7,478,237",https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,72
2002,Anne-Marie,2019-01-04,"7,401,219",https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,73
Body (feat. brando),Loud Luxury,2019-01-04,"7,394,853",https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,74
Shape of You,Ed Sheeran,2019-01-04,"7,367,186",https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,75
Bubalu,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",2019-01-04,"7,356,038",https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,76
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,2019-01-04,"7,324,667",https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,77
One Kiss (with Dua Lipa),Calvin Harris,2019-01-04,"7,303,078",https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,78
Crushed Up,Future,2019-01-04,"7,199,292",https://open.spotify.com/track/7AYuSG1LoaaFVKjOxsB6Vh,79
BAD!,XXXTENTACION,2019-01-04,"7,114,933",https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,80
Reggaeton,J Balvin,2019-01-04,"6,966,608",https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,81
Solo (feat. Demi Lovato),Clean Bandit,2019-01-04,"6,941,759",https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,82
Believer,Imagine Dragons,2019-01-04,"6,879,520",https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,83
IDGAF,Dua Lipa,2019-01-04,"6,801,258",https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,84
Another One Bites The Dust - Remastered 2011,Queen,2019-01-04,"6,766,253",https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,85
Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",2019-01-04,"6,609,022",https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,86
Perfect,Ed Sheeran,2019-01-04,"6,520,151",https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,87
MALA,"6ix9ine, Anuel AA",2019-01-04,"6,514,966",https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE,88
Don't Stop Me Now - 2011 Mix,Queen,2019-01-04,"6,496,381",https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,89
Havana (feat. Young Thug),Camila Cabello,2019-01-04,"6,481,381",https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,90
"Fire On Fire - From ""Watership Down""",Sam Smith,2019-01-04,"6,427,867",https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND,91
