,Song,Artist,Date,Streams,Url,Track_Id,Rank,valence
608,Sweet but Psycho,Ava Max,2019-01-25,"21,482,255",https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,25sgk305KZfyuqVBQIahim,9,0.6449172341502887
609,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2019-01-25,"20,046,891",https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM,10,0.21326422210223261
610,MIA (feat. Drake),Bad Bunny,2019-01-25,"19,080,557",https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,116H0KvKr2Zl4RPuVBruDO,11,0.7056661133711196
611,Shallow,"Lady Gaga, Bradley Cooper",2019-01-25,"18,467,720",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2VxeLyX666F8uXCJ0dZF8B,12,0.6422171663487183
612,High Hopes,Panic! At The Disco,2019-01-25,"17,751,164",https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,1rqqCSm0Qe4I9rUvWncaom,13,0.5065188455255522
613,Going Bad (feat. Drake),Meek Mill,2019-01-25,"17,316,775",https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2IRZnDFmlqMuOrYOLnZZyc,14,0.9505540046807596
614,Adan y Eva,Paulo Londra,2019-01-25,"17,307,647",https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,6FyRXC8tJUh863JCkyWqtk,15,0.8557975766827419
615,Happier,"Marshmello, Bastille",2019-01-25,"17,225,374",https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2dpaYNEQHiRxtZbfNsse99,16,0.9004925812877339
616,Secreto,"Anuel AA, KAROL G",2019-01-25,"17,147,855",https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,5W83ErFkO3aKAIS1WMi6u0,17,0.23924671887969173
617,SICKO MODE,Travis Scott,2019-01-25,"16,692,985",https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,18,0.893690108044516
618,Saturday Nights,Khalid,2019-01-25,"14,310,195",https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,5kfNriitmkNE8mUbZ7gbq8,19,0.42227877999845176
619,ZEZE (feat. Travis Scott & Offset),Kodak Black,2019-01-25,"14,233,536",https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,0FZ4Dmg8jJJAPJnvBIzD9z,20,0.345461444192124
620,Giant (with Rag'n'Bone Man),Calvin Harris,2019-01-25,"14,154,951",https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,5itOtNx0WxtJmi1TQ3RuRd,21,0.052424620052910376
621,Look Back at It,A Boogie Wit da Hoodie,2019-01-25,"13,829,070",https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,3Ol2xnObFdKV9pmRD2t9x8,22,0.056213167356165106
622,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2019-01-25,"13,286,666",https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,27rdGxbavYJeBphck5MZAF,23,0.1644332593519071
623,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2019-01-25,"13,099,161",https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,78QR3Wp35dqAhFEc2qAGjE,24,0.9361234166870702
624,Eastside (with Halsey & Khalid),benny blanco,2019-01-25,"13,040,261",https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,7FGq80cy8juXBCD2nrqdWU,25,0.36799635378352824
